date,temperature,temp_n_stations
2023-10-01,66.66227068947369,950
2023-10-02,66.0989317591623,955
2023-10-03,66.27422142513089,955
2023-10-04,67.18090261280167,953
2023-10-05,65.63419144050104,958
2023-10-06,63.49727542154812,956
2023-10-07,61.10466840481172,956
2023-10-08,60.31707658534032,955
2023-10-09,60.25800776384535,957
2023-10-10,60.65781716041667,960
2023-10-11,59.499691219562955,961
2023-10-12,58.58376619667013,961
2023-10-13,58.42876660457856,961
2023-10-14,56.75356547753396,957
2023-10-15,56.845085351097175,957
2023-10-16,56.95559381458334,960
2023-10-17,58.280954538541664,960
2023-10-18,60.38715707724426,958
2023-10-19,62.314134613138684,959
2023-10-20,63.11121687280248,967
2023-10-21,61.61963214596273,966
2023-10-22,59.60015165871369,964
2023-10-23,59.34920795440414,965
2023-10-24,60.06922879214064,967
2023-10-25,60.192221749741464,967
2023-10-26,58.21989339896907,970
2023-10-27,55.88658060556127,971
2023-10-28,51.68496081733746,969
2023-10-29,47.83003261673554,968
2023-10-30,44.28868955371901,968
2023-10-31,43.91216948659794,970
2023-11-01,44.54886231034482,957
2023-11-02,48.49742631066946,956
2023-11-03,53.15315567570386,959
2023-11-04,54.78232174712644,957
2023-11-05,56.25684144665272,956
2023-11-06,57.9481265799373,957
2023-11-07,56.92411101876955,959
2023-11-08,53.94037126200418,958
2023-11-09,50.53680596558916,959
2023-11-10,47.79817903657263,957
2023-11-11,47.872524462264145,954
2023-11-12,49.70815502210527,950
2023-11-13,50.61086352301255,956
2023-11-14,51.203638439075625,952
2023-11-15,51.90645600942408,955
2023-11-16,53.38078610062893,954
2023-11-17,52.962350525210084,952
2023-11-18,50.558567966351205,951
2023-11-19,48.94183239199157,949
2023-11-20,48.189405470588234,952
2023-11-21,46.4584866726128,953
2023-11-22,46.14396000735294,952
2023-11-23,43.753559369085174,951
2023-11-24,39.60165841201264,949
2023-11-25,37.89661841894737,950
2023-11-26,38.36912099052632,950
2023-11-27,37.672271370020965,954
2023-11-28,37.22079473375262,954
2023-11-29,39.670298720881426,953
2023-11-30,43.1191438541448,953
2023-12-01,43.87931624050633,948
2023-12-02,45.04158828888889,945
2023-12-03,46.0407085,944
2023-12-04,45.81181483932347,946
2023-12-05,45.49648534004237,944
2023-12-06,44.9497255281018,943
2023-12-07,46.02826903072034,944
2023-12-08,46.52351996924708,943
2023-12-09,45.03217242189161,941
2023-12-10,41.96672527523911,941
2023-12-11,40.33823836025505,941
2023-12-12,40.6704653089172,942
