date,pct_respiratory,pm25,pm25_n_stations,no2,no2_n_stations,ozone,ozone_n_stations,temperature,temp_n_stations,humidity,humidity_n_stations
2023-04-03,12.44,6.545205770244821,2655,6.412884956018519,432,0.03822527606338616,1199,51.69489004290092,979,59.34215004136253,411
2023-04-04,12.23,8.352369941394965,2423,6.1334652529002325,431,0.034333103247293925,1201,51.66075463608563,981,64.53577140096618,414
2023-04-05,12.0,7.216688140307181,2409,6.80509119630485,433,0.03454882431307244,1201,49.869682622448984,980,60.26909323429952,414
2023-04-06,11.44,6.0121643520678685,2829,7.830281509216589,434,0.03586733805162365,1201,48.79883929268293,984,53.711362447115384,416
2023-04-07,11.66,5.4738484956701035,2425,6.993720132867133,429,0.03821706244796003,1201,49.34018487906504,984,51.536209115384615,416
2023-04-08,12.42,5.613629283471075,2420,6.041517552447552,429,0.03725351793160967,1199,50.98737462639594,985,52.60295781730769,416
2023-04-09,13.23,6.749785700336701,2673,6.692491079439253,428,0.039538702680067005,1194,54.1906740964467,985,52.17577522596154,416
2023-04-10,12.01,7.452126563204006,2397,9.233911758700696,431,0.040472179166666664,1200,57.48643878760162,984,51.4407295,416
2023-04-11,11.73,8.113479060330578,2420,8.670321240184757,433,0.04438578119800333,1202,60.82303434517767,985,48.835148158653844,416
2023-04-12,11.82,8.37137441534111,2829,7.649996419354839,434,0.04387650857142857,1225,61.586439281947264,986,47.79731001923077,416
2023-04-13,11.54,8.916980428512904,2441,7.930851351851851,432,0.04366176910435497,1217,59.88182662170386,986,51.729476709832134,417
2023-04-14,11.23,9.310299531071138,2446,8.082894102088167,431,0.04075027677100494,1214,58.56185814052953,982,56.859230893975905,415
2023-04-15,11.72,7.762639439692982,2736,6.027158540603248,431,0.038029111847555926,1207,58.2037788470948,981,59.67578122222222,414
2023-04-16,12.63,6.020115759934453,2441,5.043013397674419,430,0.038132964285714284,1204,55.712306880612246,980,57.59419798547216,413
2023-04-17,11.58,5.187660244453575,2434,6.070000456018518,432,0.042250854045037534,1199,54.40946801529052,981,52.70632554457832,415
2023-04-18,11.36,6.5659387506095435,2871,6.2474897558139535,430,0.043471680532445926,1202,54.02172565615463,983,53.035697423076925,416
2023-04-19,11.23,7.660030197788697,2442,6.816790339578454,427,0.043457092715231786,1208,53.79996815423902,979,52.09977011352657,414
2023-04-20,11.03,8.670700550286181,2446,7.6910633488372095,430,0.043339311934156376,1215,55.93452515345528,984,50.599838748201435,417
2023-04-21,10.7,7.355317344026549,2712,7.869009305555556,432,0.04092459950657895,1216,55.912373270600206,983,54.005299120192305,416
2023-04-22,11.57,5.907969760609807,2427,5.385016889929743,427,0.03780250788381743,1205,53.35530488217213,976,57.5162335377129,411
2023-04-23,12.3,5.34356531763734,2421,4.383002826603325,421,0.0376659991687448,1203,51.65613949185336,982,57.08213920192308,416
2023-04-24,11.51,6.392912807267545,2807,6.253629487238979,431,0.03912724132231405,1210,52.95956235198373,983,55.36559621875001,416
2023-04-25,11.42,7.822105384266886,2428,6.893136174712644,435,0.038072723770491805,1220,53.83505776774848,986,59.86470103349282,418
2023-04-26,11.27,8.419308147736626,2430,7.774168181609196,435,0.03825332895816243,1219,56.06165910162601,984,58.72379450119904,417
2023-04-27,11.02,8.045959093239228,2692,7.880652300230947,433,0.039120564754098364,1220,58.149513553752534,986,58.08985417266187,417
2023-04-28,10.77,7.469590588669951,2436,7.115132180555555,432,0.039440326813365935,1227,58.75518498883249,985,58.403958243373495,415
2023-04-29,11.54,6.445367752052545,2436,5.824419925058549,427,0.037715899591836737,1225,59.6393641395112,982,55.04526744660194,412
2023-04-30,12.45,4.790516326638477,2838,4.521308146572104,423,0.03923682992641047,1223,58.98929024236252,982,56.155707016990284,412
2023-05-01,11.47,4.426330493592394,2419,5.19741811627907,430,0.03865752571428571,1225,57.37260649235474,981,52.643429851941754,412
2023-05-02,11.46,4.339721951907131,2412,5.723319654292343,431,0.03687025568181818,1232,56.86931926836735,980,53.603951719128325,413
2023-05-03,11.36,4.60348374990751,2703,6.550093358796296,432,0.03680543306451613,1240,57.82392675178026,983,53.34547115421687,415
2023-05-04,11.04,5.635253805088223,2437,6.562268848484848,429,0.037284491552695094,1243,58.17564727670396,983,61.95572376682692,416
2023-05-05,10.67,6.231419012715341,2438,6.18410427039627,429,0.03795411048387097,1240,59.77391579552391,983,62.296816004807695,416
2023-05-06,11.34,6.910205134676564,2829,5.090001420187793,426,0.037778638573743924,1234,61.31157232756867,983,61.35074206024096,415
2023-05-07,12.21,6.9895518880197605,2429,4.55243037735849,424,0.03786658617886179,1230,62.812001068367344,980,61.42914465301205,415
2023-05-08,11.33,6.435161276386037,2435,5.757468673659673,429,0.037691436585365855,1230,63.50251781716037,979,60.226388838554215,415
2023-05-09,11.3,6.622981179733727,2704,6.310781469907408,432,0.03882496188158962,1233,62.79668554192229,978,58.666985218446605,412
2023-05-10,10.97,7.026916533086725,2433,6.917934445221445,429,0.04083781478472786,1231,63.0182392597137,978,57.1896700776699,412
2023-05-11,10.9,9.144761620107127,2427,7.236366981220657,426,0.04060829991850041,1227,64.96023491632653,980,60.21937661407767,412
2023-05-12,10.53,10.266708241246498,2856,7.404630914893617,423,0.039546130364372475,1235,67.27677854989817,982,60.82361097349398,415
2023-05-13,11.03,9.239633310118803,2441,5.4316809689737475,419,0.03846240373679935,1231,66.86761813789582,979,61.56945692978208,413
2023-05-14,11.98,7.399339713638237,2427,3.993357788095238,420,0.03741301309328969,1222,65.69536558895706,978,60.65338105825243,412
2023-05-15,11.12,7.015264044172235,2694,6.363401444444444,423,0.03789361769480519,1232,66.04476159631147,976,58.56225802682927,410
2023-05-16,10.99,8.047338952556238,2445,7.079936273584906,424,0.04010410913500404,1237,67.1534662803262,981,57.484249309927364,413
