date,pm25,pm25_n_stations
2023-10-20,6.910001446437724,1951
2023-10-21,5.781040290239726,2336
2023-10-22,5.255733383979328,1935
2023-10-23,6.014641646090535,1944
2023-10-24,7.510089590579711,2208
2023-10-25,7.395002021505376,1953
2023-10-26,7.2534172456765,1966
2023-10-27,7.782495304857621,2388
2023-10-28,7.156799847278226,1984
2023-10-29,6.314206654628688,1966
2023-10-30,5.903722731981982,2220
2023-10-31,6.444841915262889,1959
2023-11-01,7.289120120145002,1931
2023-11-02,8.079183494362534,2306
2023-11-03,9.025171415933782,1933
2023-11-04,11.07006005598756,1929
2023-11-05,11.968659127718649,2161
2023-11-06,9.116843665621735,1914
2023-11-07,8.395714552277433,1932
2023-11-08,7.187989895752896,2331
2023-11-09,7.728439450155763,1926
2023-11-10,7.073219741200828,1932
2023-11-11,7.34804192166743,2183
2023-11-12,7.404685938860104,1930
2023-11-13,7.987728323819408,1927
2023-11-14,7.7495282655021835,2290
2023-11-15,8.676014605729167,1920
2023-11-16,9.560541055089192,1906
2023-11-17,8.263623674515236,2166
2023-11-18,6.96429548002103,1902
2023-11-19,7.335979961276818,1911
2023-11-20,6.070825996512641,2294
2023-11-21,5.917522162232655,1917
2023-11-22,6.100966357255107,1909
2023-11-23,7.217290877936435,2171
2023-11-24,6.598764878228782,1897
2023-11-25,7.603559116217644,1893
2023-11-26,8.465567316866935,2247
2023-11-27,6.42584760782241,1892
2023-11-28,7.215258889717634,1877
2023-11-29,8.926705666038625,2123
2023-11-30,9.884462388473853,1874
2023-12-01,9.16615170386266,1864
2023-12-02,9.019445510778707,2273
2023-12-03,6.845865018766756,1865
2023-12-04,6.62448288847185,1865
2023-12-05,7.5168215719000475,2121
2023-12-06,7.044390798395722,1870
2023-12-07,7.215433448628295,1859
2023-12-08,8.080528057168378,2239
2023-12-09,7.672266379644587,1857
2023-12-10,6.204049067787419,1844
2023-12-11,6.048991403625955,2096
2023-12-12,7.193177602996255,1869
2023-12-13,8.139210113685346,1856
2023-12-14,9.572988150220263,2270
2023-12-15,10.613645272775706,1877
2023-12-16,10.026015997857526,1867
2023-12-17,8.114815460992908,2115
2023-12-18,6.309792652362846,1841
2023-12-19,5.648027385157096,1846
2023-12-20,7.137163999999999,2218
2023-12-21,9.1245191808,1875
2023-12-22,10.331017428875866,1877
2023-12-23,10.207158026365349,2124
2023-12-24,10.14667510979548,1858
2023-12-25,8.903389190579318,1847
2023-12-26,7.0713413114901265,2228
2023-12-27,7.135727155759871,1849
2023-12-28,6.489745047282608,1840
2023-12-29,6.461660055528961,2089
2023-12-30,6.495702052545156,1827
2023-12-31,8.528852060043668,1832
2024-01-01,9.712027612068965,2204
2024-01-02,7.379955214783075,1867
2024-01-03,8.215231836712913,1874
2024-01-04,6.8354375902484765,2133
2024-01-05,7.667902422245651,1897
2024-01-06,8.569409669846317,1887
2024-01-07,6.604918685512367,2264
2024-01-08,6.71368094208289,1882
2024-01-09,5.337695901340482,1865
2024-01-10,4.899399352548833,2099
2024-01-11,6.1033371910052905,1890
2024-01-12,6.378190244291025,1883
2024-01-13,5.346433291327914,2214
2024-01-14,5.800067346502937,1873
2024-01-15,6.519686101340482,1865
2024-01-16,7.270110421256039,2070
2024-01-17,6.920676716729022,1871
2024-01-18,8.057388060094887,1897
