date,humidity,humidity_n_stations
2023-11-21,63.62540009429281,403
2023-11-22,62.29053451243781,402
2023-11-23,64.97200726433915,401
2023-11-24,66.53018976309227,401
2023-11-25,65.40746166084787,401
2023-11-26,67.92387812718204,401
2023-11-27,61.887050079207924,404
2023-11-28,56.846213116336635,404
2023-11-29,60.715972745049505,404
2023-11-30,70.32543939950372,403
2023-12-01,77.16897678908188,403
2023-12-02,77.45854001745636,401
2023-12-03,74.65263771321696,401
2023-12-04,68.63575584538654,401
2023-12-05,66.56691273182958,399
2023-12-06,64.315977518797,399
2023-12-07,63.95369895989975,399
2023-12-08,67.06833851005025,398
2023-12-09,64.53409609343434,396
2023-12-10,61.9578543324937,397
2023-12-11,62.87872173551637,397
2023-12-12,64.00280554156171,397
2023-12-13,62.66003489974937,399
2023-12-14,61.61842887218045,399
2023-12-15,60.46826160902256,399
2023-12-16,61.62099642713569,398
2023-12-17,66.25484305527638,398
2023-12-18,64.11044996984924,398
2023-12-19,64.16922419849246,398
2023-12-20,68.55935314357683,397
2023-12-21,72.7409747002519,397
2023-12-22,76.61939379899498,398
2023-12-23,79.92039419395466,397
2023-12-24,78.86099571032746,397
2023-12-25,75.27172653787879,396
2023-12-26,74.25530743434344,396
2023-12-27,74.518451239899,396
2023-12-28,74.59921785138539,397
2023-12-29,70.92193298737374,396
2023-12-30,72.82514441161617,396
2023-12-31,74.25676556455696,395
2024-01-01,72.45742425641025,390
2024-01-02,72.11171139487179,390
2024-01-03,73.80189331377551,392
2024-01-04,70.88579309693877,392
2024-01-05,69.98357636479592,392
2024-01-06,72.95276247058824,391
2024-01-07,70.95191682097186,391
2024-01-08,67.40678493367348,392
2024-01-09,70.71425921428572,392
2024-01-10,68.13950034438776,392
2024-01-11,65.72182652173913,391
2024-01-12,65.96936952295918,392
2024-01-13,66.4145014974359,390
2024-01-14,66.43366863333333,390
2024-01-15,68.24978325575448,391
2024-01-16,67.51098975191816,391
2024-01-17,65.78634876923077,390
2024-01-18,66.67329392525774,388
2024-01-19,69.79205195897435,390
2024-01-20,68.37502642820513,390
2024-01-21,70.98119010025707,389
2024-01-22,77.92808870076726,391
2024-01-23,80.34364212886598,388
2024-01-24,85.91351832989692,388
2024-01-25,84.41924753061224,392
2024-01-26,78.60024593573264,389
2024-01-27,73.84263537532134,389
2024-01-28,72.23306440102827,389
2024-01-29,68.79523063589744,390
2024-01-30,68.0575021150895,391
2024-01-31,67.60204892327366,391
2024-02-01,71.62600977692307,390
2024-02-02,77.80181028717948,390
2024-02-03,75.10437474611399,386
2024-02-04,71.99584977002584,387
2024-02-05,70.73561671428571,385
2024-02-06,71.81969789664083,387
2024-02-07,72.53098397674418,387
2024-02-08,69.04818267525773,388
2024-02-09,73.2976211185567,388
2024-02-10,72.01563377002584,387
2024-02-11,68.75876000515464,388
2024-02-12,68.03184395360825,388
2024-02-13,65.3531686056701,388
2024-02-14,63.35173152564103,390
2024-02-15,67.29676285421995,391
2024-02-16,68.18474280769232,390
2024-02-17,66.1087599539642,391
2024-02-18,62.32169195652174,391
2024-02-19,64.31541294358975,390
2024-02-20,66.08153896930946,391
2024-02-21,67.00696992307692,390
2024-02-22,68.76750413881747,389
2024-02-23,62.636473076923075,390
2024-02-24,54.646069287179486,390
2024-02-25,52.201433353846156,390
2024-02-26,57.9062086025641,390
2024-02-27,64.31916874871796,390
2024-02-28,61.64723372378516,391
2024-02-29,54.28824341794872,390
2024-03-01,61.51888118766067,389
2024-03-02,71.15245104884319,389
2024-03-03,68.64861570179949,389
2024-03-04,68.52187033676093,389
2024-03-05,70.85845296382429,387
2024-03-06,72.64425999742268,388
2024-03-07,75.14037442307692,390
2024-03-08,70.41281730769231,390
2024-03-09,64.15447805384615,390
2024-03-10,54.324020864102565,390
2024-03-11,51.682008807692306,390
2024-03-12,57.93171681725888,394
2024-03-13,62.14207886294417,394
2024-03-14,60.550293329949234,394
2024-03-15,65.29442849489796,392
2024-03-16,63.08339570918367,392
2024-03-17,59.213593117346946,392
2024-03-18,53.59670607397959,392
2024-03-19,50.737626096446704,394
2024-03-20,51.86208834517767,394
2024-03-21,53.35816265394402,393
2024-03-22,59.16757426530612,392
2024-03-23,66.78049809693877,392
2024-03-24,65.30464612499999,392
2024-03-25,64.1369672117347,392
2024-03-26,67.44285424556962,395
2024-03-27,64.57761578987342,395
2024-03-28,60.881325744897964,392
2024-03-29,58.939092956743,393
2024-03-30,65.99551467857142,392
2024-03-31,71.324400657289,391
2024-04-01,70.8822207841191,403
2024-04-02,65.46073273762376,404
2024-04-03,60.961308441975305,405
2024-04-04,58.89019797542998,407
2024-04-05,57.77487532019704,406
2024-04-06,59.94615090886699,406
2024-04-07,55.4728828960396,404
2024-04-08,53.71501417487684,406
2024-04-09,53.21873640394089,406
2024-04-10,57.250235206896555,406
2024-04-11,57.269110657635466,406
2024-04-12,52.677708083538086,407
2024-04-13,50.6046309308642,405
2024-04-14,53.08765202970297,404
2024-04-15,58.99250565763547,406
2024-04-16,53.51191927941177,408
2024-04-17,57.13690568550369,407
2024-04-18,60.07735229238329,407
2024-04-19,57.491789746305415,406
2024-04-20,55.302791275184276,407
2024-04-21,50.30308746191647,407
